RW (nm),Lc (um),G (nm),W (nm),PeakOrNoPeak
855,21,250,600,1
855,21,250,625,0
855,21,250,650,0
855,21,300,550,0
855,21,300,575,0
855,21,300,600,1
855,21,300,625,0
855,21,300,650,0
855,22,100,550,0
855,22,100,575,0
855,22,100,600,0
855,22,100,625,1
855,22,100,650,0
855,22,150,550,0
855,22,150,575,0
855,22,150,600,0
855,22,150,625,1
855,22,150,650,0
855,22,200,550,0
855,22,200,575,0
855,22,200,600,0
855,22,200,625,1
855,22,200,650,0
855,22,250,550,0
855,22,250,575,0
855,22,250,600,1
855,22,250,625,0
855,22,250,650,0
855,22,300,550,0
855,22,300,575,0
855,22,300,600,1
855,22,300,625,0
855,22,300,650,0
855,23,100,550,0
855,23,100,575,0
855,23,100,600,0
855,23,100,625,0
855,23,100,650,1
855,23,150,550,0
855,23,150,575,0
855,23,150,600,0
855,23,150,625,1
855,23,150,650,0
855,23,200,550,0
855,23,200,575,0
855,23,200,600,0
855,23,200,625,1
855,23,200,650,0
855,23,250,550,0
855,23,250,575,0
855,23,250,600,0
855,23,250,625,1
855,23,250,650,0
855,23,300,550,0
855,23,300,575,0
855,23,300,600,0
855,23,300,625,0
855,23,300,650,0
855,24,100,550,1
855,24,100,575,0
855,24,100,600,0
855,24,100,625,0
855,24,100,650,1
855,24,150,550,0
855,24,150,575,0
855,24,150,600,0
855,24,150,625,1
855,24,150,650,0
855,24,200,550,0
855,24,200,575,0
855,24,200,600,0
855,24,200,625,1
855,24,200,650,0
855,24,250,550,0
855,24,250,575,0
855,24,250,600,0
855,24,250,625,1
855,24,250,650,0
855,24,300,550,0
855,24,300,575,0
855,24,300,600,0
855,24,300,625,1
855,24,300,650,0
855,25,100,550,1
855,25,100,575,0
855,25,100,600,0
855,25,100,625,0
855,25,100,650,1
855,25,150,550,1
855,25,150,575,0
855,25,150,600,0
855,25,150,625,0
855,25,150,650,0
855,25,200,550,0
855,25,200,575,0
855,25,200,600,0
855,25,200,625,1
855,25,200,650,0
855,25,250,550,0
855,25,250,575,0
855,25,250,600,0
855,25,250,625,1
855,25,250,650,0
855,25,300,550,0
855,25,300,575,0
855,25,300,600,0
855,25,300,625,1
855,25,300,650,0
855,26,100,550,1
855,26,100,575,0
855,26,100,600,0
855,26,100,625,0
855,26,100,650,1
855,26,150,550,1
855,26,150,575,0
855,26,150,600,0
855,26,150,625,0
855,26,150,650,1
855,26,200,550,1
855,26,200,575,0
855,26,200,600,0
855,26,200,625,1
855,26,200,650,0
855,26,250,550,0
855,26,250,575,0
855,26,250,600,0
855,26,250,625,1
855,26,250,650,0
855,26,300,550,0
855,26,300,575,0
855,26,300,600,0
855,26,300,625,1
855,26,300,650,0
855,27,100,550,1
855,27,100,575,0
855,27,100,600,0
855,27,100,625,0
855,27,100,650,1
855,27,150,550,1
855,27,150,575,0
855,27,150,600,0
855,27,150,625,0
855,27,150,650,1
855,27,200,550,1
855,27,200,575,0
855,27,200,600,0
855,27,200,625,0
855,27,200,650,1
855,27,250,550,1
855,27,250,575,0
855,27,250,600,0
855,27,250,625,1
855,27,250,650,0
855,27,300,550,1
855,27,300,575,0
855,27,300,600,0
855,27,300,625,1
855,27,300,650,0
855,28,100,550,0
855,28,100,575,0
855,28,100,600,0
855,28,100,625,0
855,28,100,650,0
855,28,150,550,1
855,28,150,575,0
855,28,150,600,0
855,28,150,625,0
855,28,150,650,1
855,28,200,550,1
855,28,200,575,0
855,28,200,600,0
855,28,200,625,0
855,28,200,650,1
855,28,250,550,1
855,28,250,575,0
855,28,250,600,0
855,28,250,625,0
855,28,250,650,0
855,28,300,550,1
855,28,300,575,0
855,28,300,600,0
855,28,300,625,1
855,28,300,650,0
855,29,100,550,0
855,29,100,575,1
855,29,100,600,0
855,29,100,625,0
855,29,100,650,0
855,29,150,550,1
855,29,150,575,0
855,29,150,600,0
855,29,150,625,0
855,29,150,650,1
855,29,200,550,1
855,29,200,575,0
855,29,200,600,0
855,29,200,625,0
855,29,200,650,1
855,29,250,550,1
855,29,250,575,0
855,29,250,600,0
855,29,250,625,0
855,29,250,650,1
855,29,300,550,1
855,29,300,575,0
855,29,300,600,0
855,29,300,625,0
855,29,300,650,0
855,30,100,550,0
855,30,100,575,1
855,30,100,600,0
855,30,100,625,0
855,30,100,650,0
855,30,150,550,0
855,30,150,575,1
855,30,150,600,0
855,30,150,625,0
855,30,150,650,1
855,30,200,550,0
855,30,200,575,0
855,30,200,600,0
855,30,200,625,0
855,30,200,650,1
855,30,250,550,1
855,30,250,575,0
855,30,250,600,0
855,30,250,625,0
855,30,250,650,1
855,30,300,550,1
855,30,300,575,0
855,30,300,600,0
855,30,300,625,0
855,30,300,650,1
855,31,100,550,0
855,31,100,575,1
855,31,100,600,0
855,31,100,625,0
855,31,100,650,0
855,31,150,550,0
855,31,150,575,1
855,31,150,600,0
855,31,150,625,0
855,31,150,650,0
855,31,200,550,0
855,31,200,575,1
855,31,200,600,0
855,31,200,625,0
855,31,200,650,1
855,31,250,550,0
855,31,250,575,0
855,31,250,600,0
855,31,250,625,0
855,31,250,650,1
855,31,300,550,1
855,31,300,575,0
855,31,300,600,0
855,31,300,625,0
855,31,300,650,1
855,32,100,550,0
855,32,100,575,1
855,32,100,600,0
855,32,100,625,0
855,32,100,650,0
855,32,150,550,0
855,32,150,575,1
855,32,150,600,0
855,32,150,625,0
855,32,150,650,0
855,32,200,550,0
855,32,200,575,1
855,32,200,600,0
855,32,200,625,0
855,32,200,650,1
855,32,250,550,0
855,32,250,575,1
855,32,250,600,0
855,32,250,625,0
855,32,250,650,1
855,32,300,550,0
855,32,300,575,0
855,32,300,600,0
855,32,300,625,0
855,32,300,650,1
855,33,100,550,0
855,33,100,575,1
855,33,100,600,0
855,33,100,625,0
855,33,100,650,0
855,33,150,550,0
855,33,150,575,1
855,33,150,600,0
855,33,150,625,0
855,33,150,650,0
855,33,200,550,0
855,33,200,575,1
855,33,200,600,0
855,33,200,625,0
855,33,200,650,0
855,33,250,550,0
855,33,250,575,1
855,33,250,600,0
855,33,250,625,0
855,33,250,650,1
855,33,300,550,0
855,33,300,575,1
855,33,300,600,0
855,33,300,625,0
855,33,300,650,1
855,34,100,550,0
855,34,100,575,0
855,34,100,600,1
855,34,100,625,0
855,34,100,650,0
855,34,150,550,0
855,34,150,575,1
855,34,150,600,0
855,34,150,625,0
855,34,150,650,0
855,34,200,550,0
855,34,200,575,1
855,34,200,600,0
855,34,200,625,0
855,34,200,650,0
855,34,250,550,0
855,34,250,575,1
855,34,250,600,0
855,34,250,625,0
855,34,250,650,1
855,34,300,550,0
855,34,300,575,1
855,34,300,600,0
855,34,300,625,0
855,34,300,650,1
855,35,100,550,0
855,35,100,575,0
855,35,100,600,1
855,35,100,625,0
855,35,100,650,0
855,35,150,550,0
855,35,150,575,0
855,35,150,600,0
855,35,150,625,0
855,35,150,650,0
855,35,200,550,0
855,35,200,575,1
855,35,200,600,0
855,35,200,625,0
855,35,200,650,0
855,35,250,550,0
855,35,250,575,1
855,35,250,600,0
855,35,250,625,0
855,35,250,650,0
855,35,300,550,0
855,35,300,575,1
855,35,300,600,0
855,35,300,625,0
855,35,300,650,1
855,36,100,550,0
855,36,100,575,0
855,36,100,600,1
855,36,100,625,0
855,36,100,650,0
855,36,150,550,0
855,36,150,575,0
855,36,150,600,1
855,36,150,625,0
855,36,150,650,0
855,36,200,550,0
855,36,200,575,0
855,36,200,600,0
855,36,200,625,0
855,36,200,650,0
855,36,250,550,0
855,36,250,575,1
855,36,250,600,0
855,36,250,625,0
855,36,250,650,0
855,36,300,550,0
855,36,300,575,1
855,36,300,600,0
855,36,300,625,0
855,36,300,650,1
855,37,100,550,1
855,37,100,575,0
855,37,100,600,1
855,37,100,625,0
855,37,100,650,0
855,37,150,550,0
855,37,150,575,0
855,37,150,600,1
855,37,150,625,0
855,37,150,650,0
855,37,200,550,0
855,37,200,575,0
855,37,200,600,1
855,37,200,625,0
855,37,200,650,0
855,37,250,550,0
855,37,250,575,1
855,37,250,600,0
855,37,250,625,0
855,37,250,650,0
855,37,300,550,0
855,37,300,575,1
855,37,300,600,0
855,37,300,625,0
855,37,300,650,1
855,38,100,550,1
855,38,100,575,0
855,38,100,600,1
855,38,100,625,0
855,38,100,650,0
855,38,150,550,0
855,38,150,575,0
855,38,150,600,1
855,38,150,625,0
855,38,150,650,0
855,38,200,550,0
855,38,200,575,0
855,38,200,600,1
855,38,200,625,0
855,38,200,650,0
855,38,250,550,0
855,38,250,575,0
855,38,250,600,0
855,38,250,625,0
855,38,250,650,0
855,38,300,550,0
855,38,300,575,1
855,38,300,600,0
855,38,300,625,0
855,38,300,650,0
855,39,100,550,1
855,39,100,575,0
855,39,100,600,1
855,39,100,625,0
855,39,100,650,0
855,39,150,550,1
855,39,150,575,0
855,39,150,600,1
855,39,150,625,0
855,39,150,650,0
855,39,200,550,0
855,39,200,575,0
855,39,200,600,1
855,39,200,625,0
855,39,200,650,0
855,39,250,550,0
855,39,250,575,0
855,39,250,600,1
855,39,250,625,0
855,39,250,650,0
855,39,300,550,0
855,39,300,575,0
855,39,300,600,0
855,39,300,625,0
855,39,300,650,0
855,40,100,550,1
855,40,100,575,0
855,40,100,600,0
855,40,100,625,1
855,40,100,650,0
855,40,150,550,1
855,40,150,575,0
855,40,150,600,1
855,40,150,625,0
855,40,150,650,0
855,40,200,550,1
855,40,200,575,0
855,40,200,600,1
855,40,200,625,0
855,40,200,650,0
855,40,250,550,0
855,40,250,575,0
855,40,250,600,1
855,40,250,625,0
855,40,250,650,0
855,40,300,550,0
855,40,300,575,0
855,40,300,600,1
855,40,300,625,0
855,40,300,650,0
855,41,100,550,1
855,41,100,575,0
855,41,100,600,0
855,41,100,625,1
855,41,100,650,0
855,41,150,550,1
855,41,150,575,0
855,41,150,600,1
855,41,150,625,0
855,41,150,650,0
855,41,200,550,1
855,41,200,575,0
855,41,200,600,1
855,41,200,625,0
855,41,200,650,0
855,41,250,550,1
855,41,250,575,0
855,41,250,600,1
855,41,250,625,0
855,41,250,650,0
855,41,300,550,1
855,41,300,575,0
855,41,300,600,1
855,41,300,625,0
855,41,300,650,0
855,42,100,550,1
855,42,100,575,0
855,42,100,600,0
855,42,100,625,1
855,42,100,650,0
855,42,150,550,1
855,42,150,575,0
855,42,150,600,0
855,42,150,625,0
855,42,150,650,0
855,42,200,550,1
855,42,200,575,0
855,42,200,600,1
855,42,200,625,0
855,42,200,650,0
855,42,250,550,1
855,42,250,575,0
855,42,250,600,1
855,42,250,625,0
855,42,250,650,0
855,42,300,550,1
855,42,300,575,0
855,42,300,600,1
855,42,300,625,0
855,42,300,650,0
855,43,100,550,0
855,43,100,575,1
855,43,100,600,0
855,43,100,625,1
855,43,100,650,0
855,43,150,550,1
855,43,150,575,0
855,43,150,600,0
855,43,150,625,1
855,43,150,650,0
855,43,200,550,1
855,43,200,575,0
855,43,200,600,1
855,43,200,625,0
855,43,200,650,0
855,43,250,550,1
855,43,250,575,0
855,43,250,600,1
855,43,250,625,0
855,43,250,650,0
855,43,300,550,1
855,43,300,575,0
855,43,300,600,1
855,43,300,625,0
855,43,300,650,0
855,44,100,550,0
855,44,100,575,1
855,44,100,600,0
855,44,100,625,1
855,44,100,650,0
855,44,150,550,1
855,44,150,575,0
855,44,150,600,0
855,44,150,625,1
855,44,150,650,0
855,44,200,550,1
855,44,200,575,0
855,44,200,600,0
855,44,200,625,0
855,44,200,650,0
855,44,250,550,1
855,44,250,575,0
855,44,250,600,1
855,44,250,625,0
855,44,250,650,0
855,44,300,550,1
855,44,300,575,0
855,44,300,600,1
855,44,300,625,0
855,44,300,650,0
855,45,100,550,0
855,45,100,575,1
855,45,100,600,0
855,45,100,625,1
855,45,100,650,0
855,45,150,550,0
855,45,150,575,0
855,45,150,600,0
855,45,150,625,1
855,45,150,650,0
855,45,200,550,1
855,45,200,575,0
855,45,200,600,0
855,45,200,625,1
855,45,200,650,0
855,45,250,550,1
855,45,250,575,0
855,45,250,600,1
855,45,250,625,0
855,45,250,650,0
855,45,300,550,1
855,45,300,575,0
855,45,300,600,1
855,45,300,625,0
855,45,300,650,0
855,46,100,550,0
855,46,100,575,1
855,46,100,600,0
855,46,100,625,1
855,46,100,650,0
855,46,150,550,0
855,46,150,575,1
855,46,150,600,0
855,46,150,625,1
855,46,150,650,0
855,46,200,550,0
855,46,200,575,0
855,46,200,600,0
855,46,200,625,1
855,46,200,650,0
855,46,250,550,1
855,46,250,575,0
855,46,250,600,0
855,46,250,625,0
855,46,250,650,0
855,46,300,550,1
855,46,300,575,0
855,46,300,600,1
855,46,300,625,0
855,46,300,650,0
855,47,100,550,0
855,47,100,575,1
855,47,100,600,0
855,47,100,625,1
855,47,100,650,0
855,47,150,550,0
855,47,150,575,1
855,47,150,600,0
855,47,150,625,1
855,47,150,650,0
855,47,200,550,0
855,47,200,575,1
855,47,200,600,0
855,47,200,625,1
855,47,200,650,0
855,47,250,550,0
855,47,250,575,0
855,47,250,600,0
855,47,250,625,1
855,47,250,650,0
855,47,300,550,1
855,47,300,575,0
855,47,300,600,1
855,47,300,625,0
855,47,300,650,0
855,48,100,550,0
855,48,100,575,1
855,48,100,600,0
855,48,100,625,0
855,48,100,650,1
855,48,150,550,0
855,48,150,575,1
855,48,150,600,0
855,48,150,625,1
855,48,150,650,0
855,48,200,550,0
855,48,200,575,1
855,48,200,600,0
855,48,200,625,1
855,48,200,650,0
855,48,250,550,0
855,48,250,575,1
855,48,250,600,0
855,48,250,625,1
855,48,250,650,0
855,48,300,550,1
855,48,300,575,0
855,48,300,600,0
855,48,300,625,0
855,48,300,650,0
855,49,100,550,0
855,49,100,575,1
855,49,100,600,0
855,49,100,625,0
855,49,100,650,1
855,49,150,550,0
855,49,150,575,1
855,49,150,600,0
855,49,150,625,1
855,49,150,650,0
855,49,200,550,0
855,49,200,575,1
855,49,200,600,0
855,49,200,625,1
855,49,200,650,0
855,49,250,550,0
855,49,250,575,1
855,49,250,600,0
855,49,250,625,1
855,49,250,650,0
855,49,300,550,0
855,49,300,575,0
855,49,300,600,0
855,49,300,625,1
855,49,300,650,0
855,50,100,550,1
855,50,100,575,1
855,50,100,600,0
855,50,100,625,0
855,50,100,650,1
855,50,150,550,0
855,50,150,575,1
855,50,150,600,0
855,50,150,625,1
855,50,150,650,0
855,50,200,550,0
855,50,200,575,1
855,50,200,600,0
855,50,200,625,1
855,50,200,650,0
855,50,250,550,0
855,50,250,575,1
855,50,250,600,0
855,50,250,625,1
855,50,250,650,0
855,50,300,550,0
855,50,300,575,1
855,50,300,600,0
855,50,300,625,1
855,50,300,650,0
865,5,100,550,0
865,5,100,575,0
865,5,100,600,0
865,5,100,625,0
865,5,100,650,0
865,5,150,550,0
865,5,150,575,0
865,5,150,600,0
865,5,150,625,0
865,5,150,650,0
865,5,200,550,0
865,5,200,575,0
865,5,200,600,0
865,5,200,625,0
865,5,200,650,0
865,5,250,550,0
865,5,250,575,0
865,5,250,600,0
865,5,250,625,0
865,5,250,650,0
865,5,300,550,0
865,5,300,575,0
865,5,300,600,0
865,5,300,625,0
865,5,300,650,0
865,6,100,550,0
865,6,100,575,0
865,6,100,600,0
865,6,100,625,0
865,6,100,650,0
865,6,150,550,0
865,6,150,575,0
865,6,150,600,0
865,6,150,625,0
865,6,150,650,0
865,6,200,550,0
865,6,200,575,0
865,6,200,600,0
865,6,200,625,0
865,6,200,650,0
865,6,250,550,0
865,6,250,575,0
865,6,250,600,0
865,6,250,625,0
865,6,250,650,0
865,6,300,550,0
865,6,300,575,0
865,6,300,600,0
865,6,300,625,0
865,6,300,650,0
865,7,100,550,0
865,7,100,575,0
865,7,100,600,0
865,7,100,625,0
865,7,100,650,0
865,7,150,550,0
865,7,150,575,0
865,7,150,600,0
865,7,150,625,0
865,7,150,650,0
865,7,200,550,0
865,7,200,575,0
865,7,200,600,0
865,7,200,625,0
865,7,200,650,0
865,7,250,550,0
865,7,250,575,0
865,7,250,600,0
865,7,250,625,0
865,7,250,650,0
865,7,300,550,0
865,7,300,575,0
865,7,300,600,0
865,7,300,625,0
865,7,300,650,0
865,8,100,550,0
865,8,100,575,0
865,8,100,600,0
865,8,100,625,0
865,8,100,650,0
865,8,150,550,0
865,8,150,575,0
865,8,150,600,0
865,8,150,625,0
865,8,150,650,0
865,8,200,550,0
865,8,200,575,0
865,8,200,600,0
865,8,200,625,0
865,8,200,650,0
865,8,250,550,0
865,8,250,575,0
865,8,250,600,0
865,8,250,625,0
865,8,250,650,0
865,8,300,550,0
865,8,300,575,0
865,8,300,600,0
865,8,300,625,0
865,8,300,650,0
865,9,100,550,0
865,9,100,575,0
865,9,100,600,0
865,9,100,625,0
865,9,100,650,0
865,9,150,550,0
865,9,150,575,0
865,9,150,600,0
865,9,150,625,0
865,9,150,650,0
865,9,200,550,0
865,9,200,575,0
865,9,200,600,0
865,9,200,625,0
865,9,200,650,0
865,9,250,550,0
865,9,250,575,0
865,9,250,600,0
865,9,250,625,0
865,9,250,650,0
865,9,300,550,0
865,9,300,575,0
865,9,300,600,0
865,9,300,625,0
865,9,300,650,0
865,10,100,550,0
865,10,100,575,0
865,10,100,600,0
865,10,100,625,0
865,10,100,650,0
865,10,150,550,0
865,10,150,575,0
865,10,150,600,0
865,10,150,625,0
865,10,150,650,0
865,10,200,550,0
865,10,200,575,0
865,10,200,600,0
865,10,200,625,0
865,10,200,650,0
865,10,250,550,0
865,10,250,575,0
865,10,250,600,0
865,10,250,625,0
865,10,250,650,0
865,10,300,550,0
865,10,300,575,0
865,10,300,600,0
865,10,300,625,0
865,10,300,650,0
865,11,100,550,0
865,11,100,575,0
865,11,100,600,0
865,11,100,625,0
865,11,100,650,0
865,11,150,550,0
865,11,150,575,0
865,11,150,600,0
865,11,150,625,0
865,11,150,650,0
865,11,200,550,0
865,11,200,575,0
865,11,200,600,0
865,11,200,625,0
865,11,200,650,0
865,11,250,550,0
865,11,250,575,0
865,11,250,600,0
865,11,250,625,0
865,11,250,650,0
865,11,300,550,0
865,11,300,575,0
865,11,300,600,0
865,11,300,625,0
865,11,300,650,0
865,12,100,550,1
865,12,100,575,0
865,12,100,600,0
865,12,100,625,0
865,12,100,650,0
865,12,150,550,1
865,12,150,575,0
865,12,150,600,0
865,12,150,625,0
865,12,150,650,0
865,12,200,550,1
865,12,200,575,0
865,12,200,600,0
865,12,200,625,0
865,12,200,650,0
865,12,250,550,0
865,12,250,575,0
865,12,250,600,0
865,12,250,625,0
865,12,250,650,0
865,12,300,550,0
865,12,300,575,0
865,12,300,600,0
865,12,300,625,0
865,12,300,650,0
865,13,100,550,1
865,13,100,575,0
865,13,100,600,0
865,13,100,625,0
865,13,100,650,0
865,13,150,550,1
865,13,150,575,0
865,13,150,600,0
865,13,150,625,0
865,13,150,650,0
865,13,200,550,1
865,13,200,575,0
865,13,200,600,0
865,13,200,625,0
865,13,200,650,0
865,13,250,550,1
865,13,250,575,0
865,13,250,600,0
865,13,250,625,0
865,13,250,650,0
865,13,300,550,1
865,13,300,575,0
865,13,300,600,0
865,13,300,625,0
865,13,300,650,0
865,14,100,550,0
865,14,100,575,1
865,14,100,600,0
865,14,100,625,0
865,14,100,650,0
865,14,150,550,0
865,14,150,575,1
865,14,150,600,0
865,14,150,625,0
865,14,150,650,0
865,14,200,550,1
865,14,200,575,0
865,14,200,600,0
865,14,200,625,0
865,14,200,650,0
865,14,250,550,1
865,14,250,575,0
865,14,250,600,0
